date,tipo,pronostico,source,gruppo,quota,probabilita_stimata,prob_calibrata,stake,stake_kelly_cal_0.25,delta_vs_kelly_cal_0.25,esito,pl
2026-04-12,GOL,NoGoal,C_gol_s5_q160_conv,C-derivati,2.15,60.0,64.58333333333334,1,8,-7,False,-1.0
2026-04-12,GOL,NoGoal,C_gol_s5_q160_conv,C-derivati,2.05,60.0,64.58333333333334,1,8,-7,False,-1.0
2026-04-12,GOL,NoGoal,C_screm_dc_s4_conv,C-derivati,2.85,70.0,55.12820512820513,1,8,-7,True,1.85
2026-04-18,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.7,57.0,72.46376811594203,1,8,-7,True,0.7
2026-03-05,SEGNO,1,C,C,2.0,80.0,64.44444444444444,1,7,-6,True,7.0
2026-03-05,SEGNO,2,C,C,5.0,42.0,41.86046511627907,1,7,-6,False,-2.0
2026-03-08,GOL,Under 2.5,A,A,2.15,51.0,67.9245283018868,4,10,-6,True,2.3
2026-03-14,SEGNO,1,C,C,4.2,50.0,56.98924731182796,4,10,-6,True,12.8
2026-03-15,GOL,Under 2.5,A,A,2.0,52.4,67.9245283018868,3,9,-6,False,-1.0
2026-03-28,GOL,Under 2.5,C_as_u25_rec,C-derivati,2.3,67.0,64.58333333333334,3,9,-6,True,3.9
2026-04-03,SEGNO,2,C,C,5.0,44.0,41.86046511627907,1,7,-6,True,4.0
2026-04-03,SEGNO,2,C,C,3.7,50.0,56.98924731182796,4,10,-6,False,-4.0
2026-04-06,SEGNO,1,C,C,8.5,40.0,41.86046511627907,3,9,-6,False,-3.0
2026-04-06,DOPPIA_CHANCE,1X,C_screm,C-derivati,3.34,40.0,54.87804878048781,3,9,-6,False,-3.0
2026-04-10,SEGNO,2,C,C,1.95,80.0,64.44444444444444,1,7,-6,False,-1.0
2026-04-11,GOL,Over 2.5,C_screm,C-derivati,1.6,56.0,72.46376811594203,1,7,-6,True,0.6
2026-04-11,GOL,Goal,A+S_o25_s6_conv,A+S,1.73,70.0,69.04761904761905,1,7,-6,False,-1.0
2026-04-14,GOL,Over 2.5,C_screm,C-derivati,1.65,58.0,72.46376811594203,2,8,-6,False,-2.0
2026-04-18,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.6,57.0,72.46376811594203,1,7,-6,True,0.6
2026-02-27,GOL,MG 3-5,C_mg,C-derivati,2.03,46.8,62.7536231884058,2,7,-5,True,1.03
2026-02-28,GOL,MG 3-5,C_mg,C-derivati,1.76,50.1,72.46376811594203,4,9,-5,True,0.76
2026-03-01,GOL,Under 2.5,A,A,1.55,70.3,77.41433021806854,4,9,-5,True,2.2
2026-03-01,GOL,MG 1-2,C_mg,C-derivati,1.62,54.5,72.46376811594203,2,7,-5,True,0.62
2026-03-05,GOL,MG 1-2,C_mg,C-derivati,1.62,54.5,72.46376811594203,2,7,-5,True,0.62
2026-03-09,GOL,MG 1-2,C_mg,C-derivati,1.62,54.5,72.46376811594203,2,7,-5,False,-1.0
2026-03-14,DOPPIA_CHANCE,1X,C_screm,C-derivati,2.05,50.0,67.85714285714286,4,9,-5,True,1.05
2026-03-16,GOL,Over 1.5,C_screm,C-derivati,1.55,56.0,72.46376811594203,1,6,-5,True,0.55
2026-04-03,SEGNO,2,C,C,4.33,43.0,41.86046511627907,1,6,-5,True,3.33
2026-04-03,SEGNO,2,C,C,4.5,42.0,41.86046511627907,1,6,-5,False,-1.0
2026-04-05,GOL,Goal,C_screm,C-derivati,1.65,92.0,72.45098039215686,3,8,-5,False,-3.0
2026-04-06,SEGNO,1,C,C,2.88,50.0,56.98924731182796,4,9,-5,True,7.52
2026-04-10,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.57,57.0,72.46376811594203,1,6,-5,True,0.57
2026-04-11,GOL,Goal,C,C,2.1,87.0,65.09803921568627,3,8,-5,True,3.3
2026-04-12,DOPPIA_CHANCE,X2,C_screm,C-derivati,3.0,53.0,67.85714285714286,5,10,-5,True,10.0
2026-04-18,SEGNO,2,C,C,4.33,43.0,41.86046511627907,1,6,-5,False,-1.0
2026-04-18,GOL,Goal,C_combo96_dc_s6_conv,C-derivati,1.87,65.0,64.58333333333334,1,6,-5,True,0.87
