date,stake,stake_kelly_dich_0.1,stake_kelly_dich_0.25,stake_kelly_cal_0.1,stake_kelly_cal_0.25
2026-03-28,1139.2200000000005,635.8000000000003,907.7100000000008,299.3900000000004,769.6700000000006
2026-03-28,1135.2200000000005,633.8000000000003,903.7100000000008,297.3900000000004,763.6700000000006
2026-03-28,1139.1000000000006,637.6800000000003,913.4100000000009,299.3300000000004,767.5500000000006
2026-03-28,1090.1000000000006,630.6800000000003,906.4100000000009,292.3300000000004,760.5500000000006
2026-03-28,1086.1000000000006,620.6800000000003,886.4100000000009,290.3300000000004,758.5500000000006
2026-03-28,1094.8500000000006,627.6800000000003,903.9100000000009,292.0800000000004,760.3000000000006
2026-03-28,1145.8500000000006,653.1800000000003,954.9100000000009,297.1800000000004,765.4000000000007
2026-03-28,1109.8500000000006,629.1800000000003,900.9100000000009,279.1800000000004,723.4000000000007
2026-03-28,1155.2900000000006,634.8600000000002,906.5900000000008,284.8600000000004,729.0800000000006
2026-03-28,1166.9900000000007,650.4600000000003,945.5900000000008,300.46000000000043,764.1800000000006
2026-03-28,1150.9900000000007,642.4600000000003,925.5900000000008,296.46000000000043,760.1800000000006
2026-03-28,1114.9900000000007,630.4600000000003,895.5900000000008,290.46000000000043,754.1800000000006
2026-03-28,1170.0700000000006,654.9400000000003,956.7900000000009,296.58000000000044,760.3000000000006
2026-03-28,1181.2700000000007,657.7400000000002,959.5900000000008,299.38000000000045,763.1000000000006
2026-03-28,1207.5100000000007,661.0200000000002,962.8700000000008,315.7800000000004,795.9000000000005
2026-03-28,1386.7100000000007,773.0200000000002,1186.8700000000008,405.38000000000045,1019.9000000000005
2026-03-28,1448.2700000000007,793.5400000000002,1241.5900000000008,412.2200000000004,1026.7400000000005
2026-03-28,1503.2700000000007,799.0400000000002,1247.0900000000008,417.7200000000004,1037.7400000000005
2026-03-28,1494.2700000000007,796.0400000000002,1244.0900000000008,414.7200000000004,1034.7400000000005
2026-03-28,1508.2700000000007,798.8400000000001,1246.8900000000008,417.52000000000044,1037.5400000000004
2026-03-28,1472.2700000000007,780.8400000000001,1204.8900000000008,405.52000000000044,1013.5400000000004
2026-03-28,1495.6700000000008,792.5400000000002,1236.0900000000008,413.32000000000045,1036.9400000000005
2026-03-28,1524.0200000000007,795.6900000000002,1239.240000000001,425.92000000000047,1068.4400000000005
2026-03-29,1520.0200000000007,791.6900000000002,1229.240000000001,423.92000000000047,1064.4400000000005
2026-03-29,1536.8200000000006,804.2900000000002,1258.640000000001,428.12000000000046,1077.0400000000004
2026-03-29,1511.8200000000006,799.2900000000002,1253.640000000001,423.12000000000046,1072.0400000000004
2026-03-29,1430.8200000000006,772.2900000000002,1199.640000000001,414.12000000000046,1054.0400000000004
2026-03-29,1426.8200000000006,768.2900000000002,1189.640000000001,412.12000000000046,1052.0400000000004
2026-03-29,1439.1400000000006,771.3700000000002,1201.960000000001,415.20000000000044,1055.1200000000003
2026-03-29,1435.1400000000006,767.3700000000002,1193.960000000001,413.20000000000044,1053.1200000000003
2026-03-29,1442.1800000000005,769.1300000000002,1195.720000000001,414.96000000000043,1054.8800000000003
2026-03-29,1451.1800000000005,778.1300000000002,1219.720000000001,417.96000000000043,1063.8800000000003
2026-03-29,1470.9800000000005,781.4300000000002,1223.020000000001,421.26000000000045,1067.1800000000003
2026-03-29,1523.9800000000005,818.5300000000002,1276.020000000001,426.56000000000046,1072.4800000000002
2026-03-29,1578.2500000000005,836.6200000000002,1318.230000000001,432.59000000000043,1078.5100000000002
2026-03-29,1599.0000000000005,853.2200000000003,1359.730000000001,445.0400000000004,1111.7100000000003
2026-03-30,1641.6300000000006,877.5800000000003,1414.5400000000009,463.3100000000004,1166.5200000000002
2026-03-31,1645.0500000000006,878.7200000000003,1415.680000000001,464.4500000000004,1167.6600000000003
2026-03-31,1655.0500000000006,880.7200000000003,1417.680000000001,466.4500000000004,1169.6600000000003
2026-04-01,1686.9000000000005,885.2700000000002,1422.230000000001,471.0000000000004,1174.2100000000003
2026-04-01,1691.5000000000005,889.8700000000002,1436.0300000000009,473.3000000000004,1176.5100000000002
2026-04-01,1687.5000000000005,879.8700000000002,1416.0300000000009,471.3000000000004,1174.5100000000002
2026-04-02,1638.5000000000005,844.8700000000002,1346.0300000000009,464.3000000000004,1160.5100000000002
2026-04-02,1665.4500000000005,848.7200000000003,1349.8800000000008,468.15000000000043,1168.2100000000003
2026-04-02,1676.7000000000005,853.2200000000003,1361.1300000000008,470.40000000000043,1170.4600000000003
2026-04-02,1640.7000000000005,847.2200000000003,1355.1300000000008,458.40000000000043,1146.4600000000003
2026-04-02,1661.9500000000005,851.4700000000003,1359.3800000000008,462.65000000000043,1150.7100000000003
